epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.5679,1.11082,0.75914,1,0.65212,0.000368089,0.000368089,0.000368089
2,29.6671,0.77244,0.78128,1,0.59312,0.000723801,0.000723801,0.000723801
3,44.1995,0.71054,0.79,1,0.55313,0.00106485,0.00106485,0.00106485
4,58.1961,0.66626,0.81047,1,0.54788,0.00104501,0.00104501,0.00104501
5,72.3552,0.63217,0.82422,1,0.45366,0.00102301,0.00102301,0.00102301
6,86.4806,0.60592,0.81617,1,0.51198,0.00100101,0.00100101,0.00100101
7,100.432,0.58691,0.83093,1,0.4423,0.000979013,0.000979013,0.000979013
8,114.873,0.57085,0.84401,1,0.44214,0.000957015,0.000957015,0.000957015
9,128.817,0.56196,0.84368,1,0.42743,0.000935018,0.000935018,0.000935018
10,143.218,0.54157,0.84971,1,0.4135,0.00091302,0.00091302,0.00091302
11,157.147,0.53315,0.82422,1,0.46051,0.000891022,0.000891022,0.000891022
12,171.592,0.53636,0.85844,1,0.38718,0.000869024,0.000869024,0.000869024
13,185.432,0.52337,0.85542,1,0.39515,0.000847026,0.000847026,0.000847026
14,199.325,0.50419,0.86146,1,0.35934,0.000825029,0.000825029,0.000825029
15,213.764,0.51015,0.84804,1,0.39693,0.000803031,0.000803031,0.000803031
16,227.762,0.49437,0.85777,1,0.36019,0.000781033,0.000781033,0.000781033
17,242.139,0.49452,0.85374,1,0.3754,0.000759035,0.000759035,0.000759035
18,255.965,0.48222,0.87152,1,0.34512,0.000737037,0.000737037,0.000737037
19,270.339,0.47642,0.84871,1,0.40049,0.00071504,0.00071504,0.00071504
20,284.381,0.47118,0.86515,1,0.36404,0.000693042,0.000693042,0.000693042
21,298.42,0.47424,0.85911,1,0.37628,0.000671044,0.000671044,0.000671044
22,312.571,0.45888,0.87051,1,0.35486,0.000649046,0.000649046,0.000649046
23,326.604,0.45642,0.8789,1,0.33699,0.000627048,0.000627048,0.000627048
24,341.095,0.44901,0.86313,1,0.36037,0.000605051,0.000605051,0.000605051
25,354.995,0.43739,0.87152,1,0.32689,0.000583053,0.000583053,0.000583053
26,369.349,0.44651,0.87957,1,0.3239,0.000561055,0.000561055,0.000561055
27,383.3,0.42494,0.88024,1,0.3176,0.000539057,0.000539057,0.000539057
28,397.6,0.40952,0.87957,1,0.32167,0.000517059,0.000517059,0.000517059
29,411.521,0.42694,0.88527,1,0.31209,0.000495062,0.000495062,0.000495062
30,425.276,0.41013,0.87622,1,0.31441,0.000473064,0.000473064,0.000473064
31,439.603,0.4061,0.87555,1,0.31067,0.000451066,0.000451066,0.000451066
32,453.591,0.39491,0.88259,1,0.31643,0.000429068,0.000429068,0.000429068
33,467.756,0.39942,0.88494,1,0.30206,0.00040707,0.00040707,0.00040707
34,481.696,0.37677,0.87856,1,0.3084,0.000385073,0.000385073,0.000385073
35,496.012,0.3877,0.8893,1,0.2941,0.000363075,0.000363075,0.000363075
36,509.837,0.36119,0.89098,1,0.28964,0.000341077,0.000341077,0.000341077
37,523.629,0.3702,0.88762,1,0.30268,0.000319079,0.000319079,0.000319079
38,537.994,0.35984,0.88662,1,0.28581,0.000297081,0.000297081,0.000297081
39,551.912,0.35249,0.88259,1,0.29785,0.000275084,0.000275084,0.000275084
40,566.183,0.35261,0.88527,1,0.29402,0.000253086,0.000253086,0.000253086
41,580.724,0.33406,0.88427,1,0.2917,0.000231088,0.000231088,0.000231088
42,595.044,0.34177,0.88494,1,0.29748,0.00020909,0.00020909,0.00020909
43,608.791,0.32121,0.88695,1,0.28258,0.000187092,0.000187092,0.000187092
44,623.076,0.31657,0.89131,1,0.2763,0.000165095,0.000165095,0.000165095
45,636.717,0.32324,0.89467,1,0.2732,0.000143097,0.000143097,0.000143097
46,650.578,0.30908,0.89232,1,0.28829,0.000121099,0.000121099,0.000121099
47,664.948,0.31693,0.89265,1,0.2857,9.91012e-05,9.91012e-05,9.91012e-05
48,678.677,0.29978,0.89198,1,0.27976,7.71034e-05,7.71034e-05,7.71034e-05
49,692.928,0.29541,0.88829,1,0.29128,5.51056e-05,5.51056e-05,5.51056e-05
50,706.623,0.29296,0.89098,1,0.28132,3.31078e-05,3.31078e-05,3.31078e-05
