epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.0471,1.10958,0.74673,1,0.69063,0.000368089,0.000368089,0.000368089
2,33.089,0.7261,0.78397,1,0.58245,0.000723801,0.000723801,0.000723801
3,49.1706,0.66305,0.82288,1,0.47627,0.00106485,0.00106485,0.00106485
4,65.4153,0.61084,0.83227,1,0.47065,0.00104501,0.00104501,0.00104501
5,81.5867,0.58734,0.85039,1,0.39937,0.00102301,0.00102301,0.00102301
6,97.6307,0.56167,0.79571,1,0.54439,0.00100101,0.00100101,0.00100101
7,113.974,0.54313,0.84066,1,0.41095,0.000979013,0.000979013,0.000979013
8,130.89,0.52518,0.85542,1,0.39136,0.000957015,0.000957015,0.000957015
9,147.3,0.51562,0.85676,1,0.38609,0.000935018,0.000935018,0.000935018
10,163.639,0.49366,0.85609,1,0.37498,0.00091302,0.00091302,0.00091302
11,180.157,0.48382,0.84971,1,0.41843,0.000891022,0.000891022,0.000891022
12,196.133,0.48067,0.8581,1,0.37993,0.000869024,0.000869024,0.000869024
13,212.387,0.47391,0.86884,1,0.35822,0.000847026,0.000847026,0.000847026
14,228.291,0.45617,0.86448,1,0.35104,0.000825029,0.000825029,0.000825029
15,244.785,0.45864,0.86783,1,0.35508,0.000803031,0.000803031,0.000803031
16,260.812,0.44161,0.87051,1,0.33285,0.000781033,0.000781033,0.000781033
17,277.509,0.44686,0.85844,1,0.36004,0.000759035,0.000759035,0.000759035
18,293.211,0.42975,0.87823,1,0.30817,0.000737037,0.000737037,0.000737037
19,309.848,0.42153,0.86749,1,0.34129,0.00071504,0.00071504,0.00071504
20,325.633,0.4207,0.88058,1,0.31669,0.000693042,0.000693042,0.000693042
21,342.106,0.40875,0.87521,1,0.33448,0.000671044,0.000671044,0.000671044
22,358.248,0.41021,0.87487,1,0.32359,0.000649046,0.000649046,0.000649046
23,374.779,0.38845,0.88225,1,0.32011,0.000627048,0.000627048,0.000627048
24,390.558,0.39103,0.86045,1,0.35119,0.000605051,0.000605051,0.000605051
25,407.072,0.38558,0.87286,1,0.33169,0.000583053,0.000583053,0.000583053
26,422.82,0.38631,0.87991,1,0.31174,0.000561055,0.000561055,0.000561055
27,439.607,0.36566,0.88326,1,0.29887,0.000539057,0.000539057,0.000539057
28,455.673,0.35223,0.88829,1,0.30785,0.000517059,0.000517059,0.000517059
29,472.164,0.36619,0.8846,1,0.30386,0.000495062,0.000495062,0.000495062
30,487.856,0.35694,0.89064,1,0.29749,0.000473064,0.000473064,0.000473064
31,504.514,0.3498,0.88829,1,0.29631,0.000451066,0.000451066,0.000451066
32,520.436,0.3439,0.88829,1,0.29853,0.000429068,0.000429068,0.000429068
33,536.826,0.33769,0.8836,1,0.30312,0.00040707,0.00040707,0.00040707
34,552.583,0.31616,0.8846,1,0.30423,0.000385073,0.000385073,0.000385073
35,569.053,0.32485,0.88326,1,0.30153,0.000363075,0.000363075,0.000363075
36,584.792,0.30663,0.8836,1,0.30804,0.000341077,0.000341077,0.000341077
37,601.239,0.30954,0.88796,1,0.31559,0.000319079,0.000319079,0.000319079
38,616.976,0.30327,0.88796,1,0.29758,0.000297081,0.000297081,0.000297081
39,633.345,0.30055,0.89131,1,0.29591,0.000275084,0.000275084,0.000275084
40,649.156,0.30212,0.88427,1,0.30223,0.000253086,0.000253086,0.000253086
41,666.406,0.28336,0.88829,1,0.29125,0.000231088,0.000231088,0.000231088
42,682.007,0.28585,0.88762,1,0.30165,0.00020909,0.00020909,0.00020909
43,698.305,0.26654,0.88963,1,0.30273,0.000187092,0.000187092,0.000187092
44,713.885,0.27241,0.89467,1,0.29405,0.000165095,0.000165095,0.000165095
45,730.259,0.27003,0.88963,1,0.28955,0.000143097,0.000143097,0.000143097
46,746.01,0.25633,0.88829,1,0.30403,0.000121099,0.000121099,0.000121099
47,761.78,0.26827,0.88963,1,0.3,9.91012e-05,9.91012e-05,9.91012e-05
48,777.965,0.25348,0.88796,1,0.29702,7.71034e-05,7.71034e-05,7.71034e-05
49,793.791,0.25068,0.88628,1,0.31621,5.51056e-05,5.51056e-05,5.51056e-05
50,809.601,0.2494,0.88796,1,0.30726,3.31078e-05,3.31078e-05,3.31078e-05
